Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,SLice,SLice max,SLice min,d18Osw,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),d18Osw (long),Temperature (long),Temperature max (long),Temperature min (long)
51.7,51.625,51.625,51.563,51.58,51.58,45.37,-0.57,13.11,14.83,10.65,48.78,48.77,41.16,-0.54,13.68,15.42,11.23
51.8,51.729,51.729,51.643,52.28,52.28,46.43,-0.58,13.39,15.12,10.93,49.18,49.13,41.69,-0.54,13.65,15.39,11.2
51.9,51.832,51.832,51.723,52.72,52.72,47.08,-0.58,13.63,15.36,11.16,49.6,49.52,42.27,-0.55,13.62,15.35,11.15
52,51.937,51.937,51.832,52.97,52.97,47.45,-0.58,13.75,15.48,11.28,50.06,49.95,42.91,-0.55,13.57,15.31,11.1
52.1,52.043,52.043,51.941,53.13,53.13,47.69,-0.58,13.74,15.48,11.26,50.53,50.41,43.6,-0.56,13.53,15.27,11.05
52.2,52.148,52.148,52.051,53.05,53.05,47.58,-0.58,13.65,15.39,11.17,50.99,50.9,44.32,-0.56,13.48,15.22,11
52.3,52.253,52.253,52.16,52.41,52.41,46.61,-0.58,13.56,15.31,11.07,51.44,51.39,45.05,-0.57,13.43,15.18,10.94
52.4,52.359,52.359,52.269,50.87,50.87,44.3,-0.56,13.53,15.27,11.03,51.83,51.87,45.74,-0.57,13.38,15.13,10.89
52.5,52.464,52.464,52.378,48.49,48.49,40.73,-0.53,13.55,15.3,11.05,52.15,52.29,46.36,-0.57,13.34,15.09,10.84
52.6,52.569,52.569,52.488,45.9,45.9,36.85,-0.5,13.62,15.37,11.12,52.39,52.64,46.87,-0.58,13.29,15.05,10.79
52.7,52.686,52.686,52.597,44.16,44.16,34.24,-0.49,13.66,15.42,11.15,52.52,52.89,47.23,-0.58,13.25,15.01,10.75
52.8,52.814,52.814,52.707,44.15,44.15,34.22,-0.49,13.63,15.39,11.11,52.56,53.04,47.43,-0.58,13.22,14.98,10.71
52.9,52.941,52.941,52.816,46.11,46.11,37.17,-0.51,13.5,15.26,10.98,52.49,53.06,47.45,-0.58,13.19,14.95,10.67
53,53.069,53.069,52.926,49.45,49.45,42.17,-0.54,13.32,15.09,10.8,52.34,52.97,47.3,-0.58,13.16,14.93,10.64
53.1,53.181,53.181,53.007,53.07,53.07,47.6,-0.58,13.14,14.91,10.61,52.11,52.78,47,-0.57,13.14,14.91,10.61
53.2,53.313,53.313,53.156,56.06,56.06,52.09,-0.62,13,14.77,10.47,51.81,52.5,46.57,-0.57,13.12,14.89,10.58
53.3,53.431,53.431,53.267,58.13,58.13,55.19,-0.64,12.89,14.66,10.35,51.46,52.14,46.04,-0.57,13.1,14.87,10.55
