age_GTS2020,age_GTS2020,age_GTS2020,age_GTS2020,age_W2020,temp_benthic,d18Osw_raw,d18Osw_pH
11.831,11.87,11.87,11.87,11.87,7.669181127,0.618023339,0.447582413
11.933,11.97,11.97,11.97,11.97,7.686271323,0.61599138,0.444678514
12.031,12.07,12.07,12.07,12.07,7.697855313,0.614203931,0.440529973
12.113,12.17,12.17,12.17,12.17,7.71304725,0.611495338,0.437006461
12.205,12.27,12.27,12.27,12.27,7.722796607,0.61042888,0.432722527
12.308,12.37,12.37,12.37,12.37,7.73717988,0.610018513,0.429655906
12.411,12.47,12.47,12.47,12.47,7.751227214,0.608714909,0.42638784
12.531,12.57,12.57,12.57,12.57,7.765400885,0.60811477,0.422915844
12.652,12.67,12.67,12.67,12.67,7.77686358,0.605201301,0.418778184
12.765,12.77,12.77,12.77,12.77,7.791506875,0.602172804,0.416877992
12.861,12.87,12.87,12.87,12.87,7.797510287,0.601012363,0.414177169
12.956,12.97,12.97,12.97,12.97,7.808248166,0.599630514,0.411927643
13.057,13.07,13.07,13.07,13.07,7.815633337,0.598363534,0.408627153
13.169,13.17,13.17,13.17,13.17,7.82697893,0.595073972,0.405391866
13.273,13.27,13.27,13.27,13.27,7.832928998,0.593645554,0.40133822
13.376,13.37,13.37,13.37,13.37,7.842766365,0.591262029,0.399619395
13.472,13.47,13.47,13.47,13.47,7.858143588,0.589961843,0.395572544
13.568,13.57,13.57,13.57,13.57,7.862497138,0.588783313,0.393301602
13.666,13.67,13.67,13.67,13.67,7.87235703,0.587495565,0.390800354
13.768,13.77,13.77,13.77,13.77,7.883481451,0.584927972,0.38781459
13.877,13.87,13.87,13.87,13.87,7.888597713,0.583563157,0.385167596
13.986,13.97,13.97,13.97,13.97,7.89945658,0.58089656,0.381181936
14.095,14.07,14.07,14.07,14.07,7.91150673,0.579456422,0.377780836
14.2,14.17,14.17,14.17,14.17,7.91982149,0.57786756,0.375940609
