Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
48,48.032,48.032,48.387,12.27,14.37,9.3,-1.196,-0.907,-1.538,12.48,14.45,9.53,-1.128,-0.853,-1.492
48.1,48.121,48.121,48.469,12.07,14.17,9.06,-1.221,-0.923,-1.586,12.49,14.49,9.51,-1.137,-0.859,-1.502
48.2,48.21,48.21,48.551,11.96,14.1,8.94,-1.227,-0.905,-1.611,12.5,14.53,9.5,-1.147,-0.865,-1.511
48.3,48.299,48.299,48.633,11.9,14.05,8.87,-1.224,-0.908,-1.652,12.49,14.55,9.47,-1.158,-0.873,-1.521
48.4,48.388,48.388,48.715,11.89,14.03,8.87,-1.231,-0.941,-1.659,12.48,14.56,9.44,-1.17,-0.881,-1.53
48.5,48.478,48.478,48.797,12,14.15,9,-1.232,-0.95,-1.632,12.46,14.56,9.41,-1.181,-0.89,-1.539
48.6,48.567,48.567,48.879,,,,,,,12.44,,,-1.19,,
48.7,48.661,48.661,48.974,,,,,,,12.43,,,-1.196,,
48.8,48.755,48.755,49.069,,,,,,,12.43,,,-1.199,,
48.9,48.849,48.849,49.164,,,,,,,12.44,,,-1.198,,
49,48.943,48.943,49.26,13.51,15.82,10.14,-1.017,-0.704,-1.391,12.47,14.64,9.38,-1.194,-0.901,-1.543
49.1,49.037,49.037,49.355,13.36,15.61,10.05,-1.059,-0.751,-1.41,12.52,14.7,9.43,-1.186,-0.896,-1.533
49.2,49.131,49.131,49.45,13.06,15.27,9.85,-1.132,-0.834,-1.452,12.59,14.77,9.49,-1.176,-0.887,-1.519
49.3,49.225,49.225,49.545,12.62,14.77,9.48,-1.231,-0.938,-1.539,12.67,14.85,9.56,-1.163,-0.877,-1.503
49.4,49.319,49.319,49.64,12.13,14.29,9.06,-1.338,-1.017,-1.635,12.75,14.94,9.64,-1.15,-0.866,-1.485
49.5,49.416,49.416,49.728,11.79,13.98,8.69,-1.405,-1.076,-1.718,12.85,15.04,9.74,-1.135,-0.853,-1.466
49.6,49.514,49.514,49.812,11.75,13.97,8.69,-1.396,-1.084,-1.713,12.95,15.14,9.83,-1.12,-0.84,-1.445
49.7,49.613,49.613,49.897,12,14.15,9.01,-1.314,-1.054,-1.631,13.05,15.24,9.94,-1.104,-0.827,-1.425
49.8,49.712,49.712,49.981,12.4,14.51,9.44,-1.196,-0.967,-1.507,13.15,15.33,10.04,-1.089,-0.813,-1.406
49.9,49.81,49.81,50.066,12.83,15.05,9.8,-1.083,-0.843,-1.425,13.24,15.42,10.13,-1.076,-0.802,-1.391
50,49.909,49.909,50.15,13.24,15.41,10.17,-0.99,-0.763,-1.318,13.32,15.5,10.21,-1.066,-0.793,-1.378
50.1,50.007,50.007,50.235,13.68,15.83,10.61,-0.906,-0.677,-1.217,13.38,15.56,10.28,-1.058,-0.787,-1.37
50.2,50.106,50.106,50.319,14.16,16.3,11.09,-0.818,-0.583,-1.115,13.46,15.64,10.36,-1.045,-0.776,-1.355
50.3,50.204,50.204,50.404,14.62,16.81,11.47,-0.738,-0.487,-1.046,13.56,15.74,10.46,-1.028,-0.762,-1.337
50.4,50.303,50.303,50.488,14.92,17.13,11.77,-0.698,-0.434,-1.015,13.61,15.79,10.52,-1.02,-0.757,-1.331
50.5,50.401,50.401,50.573,14.92,17.12,11.78,-0.743,-0.482,-1.046,13.66,15.84,10.56,-1.012,-0.753,-1.325
50.6,50.5,50.5,50.657,14.65,16.75,11.58,-0.857,-0.605,-1.128,13.69,15.88,10.59,-1.006,-0.751,-1.321
50.7,50.598,50.598,50.742,14.28,16.35,11.19,-0.986,-0.729,-1.258,13.71,15.9,10.62,-1.002,-0.751,-1.32
50.8,50.7,50.7,50.846,13.94,16.14,10.79,-1.101,-0.792,-1.386,13.72,15.91,10.62,-1.001,-0.753,-1.321
50.9,50.802,50.802,50.96,13.77,16.05,10.54,-1.156,-0.804,-1.459,13.72,15.91,10.62,-1.003,-0.757,-1.324
51,50.904,50.904,51.024,13.73,16.01,10.5,-1.149,-0.814,-1.462,13.7,15.89,10.6,-1.008,-0.764,-1.33
51.1,51.005,51.005,51.081,13.55,15.78,10.41,-1.145,-0.848,-1.459,13.67,15.87,10.58,-1.015,-0.771,-1.337
51.2,51.109,51.109,51.162,13.17,15.31,10.09,-1.165,-0.922,-1.495,13.64,15.85,10.55,-1.023,-0.779,-1.344
51.3,51.212,51.212,51.242,12.75,14.92,9.72,-1.172,-0.982,-1.528,13.61,15.83,10.52,-1.029,-0.785,-1.349
51.4,51.315,51.315,51.322,12.48,14.69,9.49,-1.139,-1.001,-1.538,13.6,15.82,10.5,-1.031,-0.787,-1.35
51.5,51.419,51.419,51.402,12.55,14.81,9.55,-1.072,-0.952,-1.488,13.6,15.83,10.5,-1.027,-0.784,-1.345
51.6,51.522,51.522,51.483,12.91,15.1,9.93,-1.009,-0.875,-1.401,13.62,15.86,10.52,-1.017,-0.774,-1.334
51.7,51.625,51.625,51.563,13.34,15.55,10.37,-0.974,-0.784,-1.326,13.66,15.91,10.56,-1.001,-0.758,-1.316
51.8,51.729,51.729,51.643,13.69,15.93,10.64,-0.97,-0.726,-1.271,13.73,15.99,10.62,-0.979,-0.737,-1.293
51.9,51.832,51.832,51.723,13.88,16.14,10.82,-0.984,-0.701,-1.249,13.8,16.08,10.69,-0.955,-0.713,-1.266
52,51.937,51.937,51.832,13.98,16.22,10.89,-0.991,-0.695,-1.241,13.88,16.16,10.77,-0.932,-0.69,-1.24
52.1,52.043,52.043,51.941,14.01,16.22,10.88,-0.984,-0.705,-1.245,13.95,16.24,10.83,-0.912,-0.668,-1.216
52.2,52.148,52.148,52.051,14.02,16.32,10.83,-0.963,-0.684,-1.236,14.01,16.31,10.88,-0.897,-0.65,-1.195
52.3,52.253,52.253,52.16,14.07,16.45,10.83,-0.927,-0.646,-1.214,14.05,16.36,10.91,-0.886,-0.635,-1.179
52.4,52.359,52.359,52.269,14.35,16.74,11.12,-0.842,-0.576,-1.133,14.08,16.4,10.94,-0.878,-0.623,-1.166
52.5,52.464,52.464,52.378,14.88,17.21,11.7,-0.712,-0.46,-0.988,14.11,16.43,10.95,-0.872,-0.613,-1.156
52.6,52.569,52.569,52.488,15.39,17.76,12.21,-0.589,-0.319,-0.863,14.13,16.46,10.97,-0.866,-0.604,-1.146
52.7,52.686,52.686,52.597,15.66,18.12,12.4,-0.523,-0.241,-0.807,14.15,16.49,10.98,-0.86,-0.595,-1.137
52.8,52.814,52.814,52.707,15.42,17.85,12.16,-0.565,-0.291,-0.854,14.17,16.52,10.99,-0.851,-0.585,-1.128
52.9,52.941,52.941,52.816,14.75,17.12,11.52,-0.7,-0.444,-0.982,14.2,16.56,11,-0.841,-0.573,-1.118
53,53.069,53.069,52.926,13.88,16.2,10.74,-0.883,-0.635,-1.151,14.22,16.59,11.02,-0.83,-0.56,-1.107
53.1,53.181,53.181,53.007,13.03,15.37,9.92,-1.062,-0.807,-1.319,14.25,16.62,11.04,-0.819,-0.548,-1.095
53.2,53.313,53.313,53.156,12.49,14.85,9.36,-1.18,-0.913,-1.437,14.27,16.64,11.05,-0.808,-0.537,-1.085
53.3,53.431,53.431,53.267,12.51,14.85,9.39,-1.175,-0.911,-1.433,14.28,16.66,11.06,-0.799,-0.527,-1.076
53.4,53.54,53.54,53.392,13.11,15.38,9.95,-1.045,-0.799,-1.306,14.28,16.65,11.06,-0.79,-0.519,-1.066
53.5,53.648,53.648,53.516,13.91,16.2,10.73,-0.87,-0.623,-1.149,14.28,16.64,11.05,-0.781,-0.512,-1.057
53.6,53.757,53.757,53.641,14.61,17.02,11.32,-0.72,-0.447,-1.025,14.28,16.62,11.05,-0.771,-0.507,-1.047
53.7,53.866,53.866,53.766,14.94,17.45,11.62,-0.653,-0.356,-0.96,14.27,16.59,11.05,-0.761,-0.502,-1.035
53.8,53.974,53.974,53.89,14.99,17.5,11.66,-0.653,-0.337,-0.953,14.26,16.55,11.05,-0.75,-0.498,-1.021
53.9,54.083,54.083,54.003,15,17.52,11.67,-0.654,-0.334,-0.935,14.26,16.52,11.07,-0.738,-0.493,-1.005
54,54.193,54.193,54.115,15,17.51,11.68,-0.637,-0.316,-0.903,14.26,16.49,11.09,-0.725,-0.489,-0.987
54.1,54.302,54.302,54.227,14.93,17.17,11.62,-0.617,-0.351,-0.873,14.27,16.46,11.12,-0.712,-0.484,-0.967
54.2,54.411,54.411,54.339,14.82,16.93,11.61,-0.591,-0.356,-0.84,14.28,16.43,11.16,-0.697,-0.479,-0.946
54.3,54.52,54.52,54.451,,,,,,,14.3,,,-0.683,,
54.4,54.629,54.629,54.563,14.56,16.73,11.19,-0.553,-0.33,-0.865,14.31,16.37,11.24,-0.668,-0.47,-0.9
54.5,54.738,54.738,54.675,14.44,16.48,11.21,-0.547,-0.37,-0.842,14.31,16.34,11.28,-0.654,-0.466,-0.877
54.6,54.847,54.847,54.787,14.3,16.26,11.25,-0.559,-0.415,-0.819,14.32,16.3,11.32,-0.639,-0.463,-0.854
54.7,54.956,54.956,54.899,14.09,15.89,11.19,-0.604,-0.494,-0.821,14.33,16.27,11.36,-0.624,-0.459,-0.83
54.8,55.066,55.066,55.011,13.76,15.48,11.05,-0.689,-0.598,-0.848,14.35,16.25,11.41,-0.607,-0.454,-0.805
54.9,55.175,55.175,55.123,13.42,15.09,10.76,-0.786,-0.69,-0.922,14.38,16.24,11.48,-0.587,-0.445,-0.777
55,55.284,55.284,55.236,13.21,14.88,10.54,-0.853,-0.739,-0.976,14.43,16.25,11.56,-0.564,-0.432,-0.747
55.1,55.393,55.393,55.348,13.27,14.94,10.6,-0.848,-0.725,-0.963,14.5,16.3,11.66,-0.537,-0.414,-0.713
55.2,55.502,55.502,55.46,13.65,15.28,10.96,-0.759,-0.649,-0.874,14.6,16.38,11.78,-0.506,-0.389,-0.676
55.3,55.611,55.611,55.572,14.21,15.86,11.49,-0.61,-0.512,-0.743,14.73,16.49,11.91,-0.469,-0.358,-0.635
55.4,55.72,55.72,55.684,14.77,16.44,12.06,-0.456,-0.375,-0.606,14.87,16.62,12.07,-0.427,-0.32,-0.591
55.5,55.83,55.83,55.796,15.23,16.94,12.48,-0.339,-0.262,-0.501,15.04,16.78,12.23,-0.382,-0.277,-0.545
55.6,55.939,55.939,55.908,15.58,17.36,12.8,-0.256,-0.163,-0.416,15.21,16.96,12.4,-0.334,-0.229,-0.499
55.7,56.048,56.048,56.02,15.8,17.57,13,-0.212,-0.115,-0.365,15.38,17.14,12.56,-0.285,-0.179,-0.452
55.8,56.157,56.157,56.132,15.86,17.64,13.08,-0.206,-0.089,-0.338,15.55,17.33,12.71,-0.235,-0.127,-0.407
55.9,56.266,56.266,56.244,15.98,17.75,13.18,-0.179,-0.05,-0.303,15.71,17.51,12.84,-0.187,-0.073,-0.365
56,56.375,56.375,56.356,16.17,17.89,13.34,-0.111,0.005,-0.259,15.86,17.69,12.95,-0.141,-0.022,-0.326
56.1,56.484,56.484,56.468,16.42,18.19,13.51,-0.011,0.088,-0.2,15.98,17.84,13.04,-0.099,0.026,-0.293
56.2,56.594,56.594,56.58,16.74,18.53,13.77,0.101,0.188,-0.126,16.06,17.96,13.08,-0.065,0.067,-0.267
56.3,56.703,56.703,56.692,16.9,18.7,13.9,0.173,0.252,-0.072,16.1,18.04,13.09,-0.039,0.101,-0.249
56.4,56.812,56.812,56.804,16.92,18.74,13.92,0.195,0.276,-0.054,16.1,18.07,13.05,-0.022,0.126,-0.24
56.5,56.921,56.921,56.916,16.92,18.78,13.89,0.192,0.301,-0.045,16.05,18.06,12.97,-0.013,0.143,-0.238
56.6,57.03,57.03,57.028,16.8,18.73,13.73,0.157,0.312,-0.056,15.96,18.02,12.85,-0.011,0.153,-0.244
56.7,57.139,57.139,57.139,16.54,18.64,13.38,0.1,0.303,-0.125,15.84,17.94,12.71,-0.016,0.156,-0.254
56.8,57.246,57.246,57.246,16.28,18.55,13.07,0.057,0.304,-0.182,15.7,17.83,12.54,-0.025,0.155,-0.269
56.9,57.354,57.354,57.354,16.03,18.42,12.63,0.029,0.283,-0.259,15.54,17.71,12.36,-0.038,0.15,-0.285
57,57.462,57.462,57.462,15.82,18.27,12.31,0.013,0.261,-0.304,15.38,17.58,12.18,-0.054,0.142,-0.304
57.1,57.57,57.57,57.57,15.55,17.95,12.11,-0.013,0.218,-0.324,15.2,17.43,11.99,-0.071,0.133,-0.323
57.2,57.678,57.678,57.678,15.1,17.46,11.76,-0.078,0.138,-0.363,15.03,17.29,11.8,-0.089,0.122,-0.342
57.3,57.786,57.786,57.786,14.48,16.8,11.26,-0.175,0.033,-0.435,14.86,17.14,11.62,-0.106,0.111,-0.36
57.4,57.895,57.895,57.895,13.86,16.19,10.61,-0.273,-0.061,-0.532,14.69,17,11.46,-0.123,0.1,-0.376
57.5,58.004,58.004,58.004,13.4,15.81,10.13,-0.341,-0.11,-0.597,14.54,16.87,11.3,-0.137,0.09,-0.389
57.6,58.112,58.112,58.112,13.18,15.66,9.91,-0.37,-0.119,-0.617,14.41,16.75,11.18,-0.147,0.083,-0.398
57.7,58.221,58.221,58.221,13.26,15.65,10.06,-0.344,-0.098,-0.575,14.32,16.67,11.08,-0.15,0.082,-0.401
57.8,58.33,58.33,58.33,13.51,15.82,10.38,-0.282,-0.049,-0.497,14.26,16.62,11.03,-0.146,0.088,-0.395
57.9,58.438,58.438,58.438,13.78,16.03,10.63,-0.214,0.017,-0.435,14.25,16.62,11.02,-0.133,0.102,-0.381
58,58.547,58.547,58.547,13.98,16.31,10.82,-0.157,0.086,-0.392,14.29,16.66,11.07,-0.111,0.126,-0.357
58.1,58.656,58.656,58.656,14.07,16.42,10.9,-0.124,0.119,-0.369,14.38,16.76,11.15,-0.08,0.158,-0.325
58.2,58.764,58.764,58.764,14.08,16.42,10.9,-0.11,0.125,-0.362,14.51,16.89,11.28,-0.042,0.198,-0.288
58.3,58.873,58.873,58.873,14.06,16.36,10.89,-0.107,0.105,-0.351,14.67,17.05,11.43,0,0.242,-0.246
